fuzzer,protocol,seed,mutant,time,result
foundry,uniswap-v2,1546678032441257452667456735582814959992782782816731922691272282333561699760,11,7,1
echidna,uniswap-v2,1546678032441257452667456735582814959992782782816731922691272282333561699760,11,92,1
echidna,uniswap-v2,1546678032441257452667456735582814959992782782816731922691272282333561699760,12,86401,124
foundry,uniswap-v2,1546678032441257452667456735582814959992782782816731922691272282333561699760,12,5058,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,01,1634,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,01,20,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,02,141,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,02,24383,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,03,9,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,03,146,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,04,777,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,04,141,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,05,143,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,05,12574,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,06,127,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,06,8,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,07,11,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,07,136,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,08,130,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,08,7,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,09,7,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,09,121,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,10,10348,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,10,28214,0
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,11,103,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,11,6,1
echidna,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,12,77182,1
foundry,uniswap-v2,18569430475105882587588266137607568536673111973893317399460219858819262702947,12,269,1
echidna,uniswap-v2,2,01,810,1
foundry,uniswap-v2,2,01,22,1
foundry,uniswap-v2,2,02,1700,1
echidna,uniswap-v2,2,02,123,1
echidna,uniswap-v2,2,03,119,1
foundry,uniswap-v2,2,03,6,1
echidna,uniswap-v2,2,04,114,1
foundry,uniswap-v2,2,04,1737,1
foundry,uniswap-v2,2,05,13201,1
echidna,uniswap-v2,2,05,115,1
foundry,uniswap-v2,2,06,6,1
echidna,uniswap-v2,2,06,105,1
echidna,uniswap-v2,2,07,111,1
foundry,uniswap-v2,2,07,6,1
echidna,uniswap-v2,2,08,101,1
foundry,uniswap-v2,2,08,8,1
echidna,uniswap-v2,2,09,90,1
foundry,uniswap-v2,2,09,11,1
foundry,uniswap-v2,2,10,12382,1
echidna,uniswap-v2,2,10,57984,1
echidna,uniswap-v2,2,11,86,1
foundry,uniswap-v2,2,11,9,1
foundry,uniswap-v2,2,12,358,1
echidna,uniswap-v2,2,12,86400,124
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,01,1233,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,01,8,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,02,299,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,02,168,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,03,174,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,03,7,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,04,170,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,04,7506,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,05,169,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,05,382,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,06,160,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,06,8,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,07,8,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,07,164,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,08,9,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,08,157,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,09,155,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,09,9,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,10,1041,1
